http://neumaticosbaratos.com,"5,045,451",200,,,['']
http://trisol.es,"2,254,067",200,oscommerce,es,
http://ofertaliux.com,"2,291,345",200,prestashop,es,",hola@ofertaliux.com"
http://papeldispal.es,"2,876,567",200,magento,es,
http://4lazos.es,"6,110,321",200,prestashop,es-es,",info@4lazos.es"
http://elmorrion.com,"8,176,820",200,prestashop,es,",info@elmorrion.com"
http://webacuarios.es,"5,592,236",200,prestashop,es,",info@webacuarios.es"
http://bimoda.com,"6,104,249",200,oscommerce,es,
http://furiousfish.es,"4,510,967",200,prestashop,es,",info@furiousfish.es"
http://sweetworldofnails.com,"6,438,756",200,shopify,en,
http://uvitoner.es,"5,069,080",200,prestashop,es-es,",margarita@uvitoner.es"
http://comercialopazo.es,"5,150,410",200,prestashop,,['']
http://sisca.co,"5,111,978",200,woocommerce,es-ES,
http://ozonoysalud.com,"3,929,093",200,prestashop,,['']
http://florea.es,"10,344,815",200,prestashop,es,",hola@florea.es"
http://replicantairsoft.com,"3,680,665",200,prestashop,,['']
http://exeom.es,"9,495,204",200,,es,
http://go-skate.eu,"10,300,975",200,,es-ES,
http://ceramicayartesania.com,"4,889,716",200,prestashop,,['']
http://vaultgadgets.net,"18,663,375",200,,es,
http://fantasticcake.es,"3,696,886",200,prestashop,es,",info@fantasticcake.es"
http://ekitienda.com,"11,629,016",200,,es-es,
http://tubellezaaqui.com,"4,437,381",200,prestashop,es,",extensiones_venta@hotmail.com"
http://repostos.es,"3,073,115",200,prestashop,es,",info@repostos.es"
http://vinosacra.es,"5,381,800",403,,,['']
http://gcar.es,"4,836,592",200,magento,es,
,"4,888,492",,,,['']
http://neumaticosbaratos.com,,200,,,['']
http://trisol.es,,200,oscommerce,es,
http://ofertaliux.com,,200,prestashop,es,",hola@ofertaliux.com"
http://papeldispal.es,,200,magento,es,
,,,,,['']
http://elmorrion.com,,200,,es,
http://webacuarios.es,,200,,es,
,,,,,['']
http://furiousfish.es,,200,prestashop,es,",info@furiousfish.es"
http://sweetworldofnails.com,,200,shopify,en,
http://uvitoner.es,,200,prestashop,es-es,",margarita@uvitoner.es"
http://comercialopazo.es,,200,prestashop,,['']
http://sisca.co,,200,woocommerce,es,
http://neumaticosbaratos.com,,200,,,['']
http://trisol.es,,200,oscommerce,es,
http://ofertaliux.com,"#5,005,673
							",200,prestashop,es,",hola@ofertaliux.com"
http://papeldispal.es,"#6,319,283
							",200,magento,es,
,,,,,['']
,"#4,883,384
							",,,,['']
http://neumaticosbaratos.com,,200,,,['']
http://trisol.es,,200,oscommerce,es,
http://ofertaliux.com,"#5,005,673
",200,prestashop,es,",hola@ofertaliux.com"
http://papeldispal.es,"#6,319,283
",200,magento,es,
,,,,,['']
,"#4,883,384
",,,,['']
http://neumaticosbaratos.com,,200,,,['']
http://trisol.es,,200,oscommerce,es,
http://ofertaliux.com,"5,005,673
",200,prestashop,es,",hola@ofertaliux.com"
http://papeldispal.es,"6,319,283
",200,magento,es,
,,,,,['']
http://elmorrion.com,"4,883,384
",200,,es,
http://webacuarios.es,,200,,es,
,"8,891,007
",,,,['']
http://furiousfish.es,"3,561,423
",200,prestashop,es,",info@furiousfish.es"
http://sweetworldofnails.com,"9,905,267
",200,shopify,en,
http://uvitoner.es,"5,036,437
",200,prestashop,es-es,",margarita@uvitoner.es"
http://comercialopazo.es,,200,prestashop,,['']
http://sisca.co,"2,834,332
",200,woocommerce,es,
http://ozonoysalud.com,"5,869,815
",200,prestashop,es,
http://florea.es,,200,prestashop,es,",hola@florea.es"
http://replicantairsoft.com,"4,488,994
",406,,,['']
http://exeom.es,"9,256,351
",200,,es,
